Word,Count,Reading,JLPT Level,Meaning
私,169,ワタシ,jlpt-n5,I
する,125,スル,jlpt-n5,to do
の,110,ノ,unknown,indicates possessive
いる,92,イル,jlpt-n5,to be (of animate objects)
こと,75,コト,jlpt-n3,thing
椅子,63,イス,jlpt-n5,chair
様,54,ヨウ,jlpt-n3,appearing ...
それ,53,ソレ,jlpt-n5,that
ある,46,アル,jlpt-n5,to be
もの,42,モノ,jlpt-n5,thing
中,36,ナカ,jlpt-n3,medium (size)
なる,35,ナル,jlpt-n5,to become
彼女,34,カノジョ,jlpt-n4,she
人,33,ヒト,jlpt-n5,person
出来る,32,デキル,jlpt-n5,to be able (in a position) to do
一,29,イチ,jlpt-n5,one
れる,27,レル,unknown,"indicates passive voice (incl. the ""suffering passive"")"
ない,25,ナイ,unknown,nonexistent
見る,25,ミル,jlpt-n5,to see
時,22,トキ,jlpt-n3,time
手紙,21,テガミ,jlpt-n5,letter
そこ,19,ソコ,jlpt-n5,there (place relatively near listener)
行く,18,イク,jlpt-n5,to go
程,18,ホド,jlpt-n3,extent
上,17,ウエ,jlpt-n5,above
世界,17,セカイ,jlpt-n4,the world
人間,16,ニンゲン,jlpt-n3,human being
致す,16,イタス,jlpt-n4,to do
居る,16,オル,jlpt-n5,to be (of animate objects)
何,16,ナニ,jlpt-n5,what
さ,15,サ,jlpt-n3,difference
られる,15,ラレル,unknown,"indicates passive voice (incl. the ""suffering passive"")"
お,15,オ,jlpt-n1,tail (of an animal)
思う,15,オモウ,jlpt-n4,to think
不思議,15,フシギ,jlpt-n3,wonderful
ホテル,14,ホテル,jlpt-n5,hotel
了,14,リョウ,jlpt-n1,finish
感じる,14,カンジル,jlpt-n3,to feel
為,14,タメ,jlpt-n4,good
男,13,オトコ,jlpt-n5,man
外,13,ソト,jlpt-n5,outside
二,13,ニ,jlpt-n5,two
方,12,ホウ,jlpt-n3,direction
奥様,12,オクサマ,unknown,wife
下さる,12,クダサル,jlpt-n3,to give
美しい,11,ウツクシイ,jlpt-n4,beautiful
肉体,11,ニクタイ,jlpt-n1,the body
一つ,11,ヒトツ,jlpt-n5,one
あなた,11,アナタ,jlpt-n5,you
非常,10,ヒジョウ,jlpt-n3,emergency
醜い,10,ミニクイ,jlpt-n2,ugly
丈,10,タケ,jlpt-n1,height
部屋,10,ヘヤ,jlpt-n5,room
日本人,9,ニッポンジン,unknown,Japanese person
前,9,マエ,jlpt-n1,last (i.e. immediately preceding)
恋,9,コイ,jlpt-n3,(romantic) love
来る,9,クル,jlpt-n5,to come (spatially or temporally)
恐ろしい,9,オソロシイ,jlpt-n3,terrible
持つ,9,モツ,jlpt-n5,to hold (in one's hand)
せる,9,セル,unknown,cell
御,9,オ,jlpt-n1,honorific/polite/humble prefix
間,9,マ,jlpt-n4,space (between)
読む,9,ヨム,jlpt-n5,to read
参る,9,マイル,jlpt-n4,to go
膝,9,ヒザ,jlpt-n3,knee
知る,9,シル,jlpt-n5,to know
身体,9,シンタイ,jlpt-n5,body
夫人,9,フジン,jlpt-n3,wife
今,8,イマ,jlpt-n5,now
彼,8,カレ,jlpt-n4,he
家,8,イエ,jlpt-n5,house
肘掛,8,ヒジカケ,unknown,armrest (of a chair)
相違,8,ソウイ,jlpt-n2,difference
与える,8,アタエル,jlpt-n3,to give (esp. to someone of lower status)
生活,8,セイカツ,jlpt-n4,life
目,8,メ,jlpt-n5,eye
度,8,ド,jlpt-n3,"degree (angle, temperature, scale, etc.)"
これ,8,コレ,jlpt-n5,this
日,8,ヒ,jlpt-n3,Sunday
気,8,キ,jlpt-n4,spirit
三,7,サン,jlpt-n5,three
場合,7,バアイ,jlpt-n4,case
若い,7,ワカイ,jlpt-n5,young
顔,7,カオ,unknown,face
上る,7,ノボル,jlpt-n5,to ascend
長い,7,ナガイ,jlpt-n5,"long (distance, length)"
書斎,7,ショサイ,jlpt-n3,study
感触,7,カンショク,jlpt-n1,feel (of something)
ヶ月,7,カゲツ,jlpt-n1,counter for months
的,7,テキ,jlpt-n1,-ical
妄想,7,モウソウ,unknown,delusion
想像,6,ソウゾウ,jlpt-n3,imagination
覚える,6,オボエル,jlpt-n5,to memorize
夢,6,ユメ,jlpt-n4,dream
置く,6,オク,jlpt-n5,to put
容貌,6,ヨウボウ,unknown,looks
よい,6,ヨイ,jlpt-n5,good
立派,6,リッパ,jlpt-n5,splendid
まま,6,ママ,unknown,as (it is)
出る,6,デル,jlpt-n5,to leave
それら,6,ソレラ,unknown,those (near the second person)
自分,6,ジブン,jlpt-n5,myself
呉れる,6,クレル,jlpt-n1,to give
続ける,6,ツヅケル,jlpt-n4,to continue
女,6,オンナ,jlpt-n5,female
角,6,カク,jlpt-n1,angle
兎,6,ウサギ,jlpt-n3,rabbit
凭れる,6,モタレル,jlpt-n1,to lean against
いう,6,イウ,jlpt-n5,to say
内,6,ウチ,jlpt-n3,inside
邸,6,ヤシキ,jlpt-n1,residence
作る,6,ツクル,jlpt-n5,to make
知れる,6,シレル,unknown,to become known
這入る,6,ハイイル,jlpt-n5,to enter
言葉,5,コトバ,jlpt-n5,language
話,5,ハナシ,jlpt-n5,talk
声,5,コエ,jlpt-n5,voice
なさる,5,ナサル,jlpt-n1,to do
